"","roi","ROI","Name","Network","Method","IVs","Coefficient","SE","Statistics","Pvalue","Pvalue_bh","Pvalue_bh_sci","Lower_CI","Upper_CI","Forest_Plot"
"123",NA,NA,NA,NA,"2SLS (2)",7,1.08847817853572,0.368393392848909,"2.955",0.00314310397375989,0.0270712503546416,"2.71e-02",0.366427128551858,1.81052922851958," 1.09 ( 0.37,  1.81)"
"124",NA,NA,NA,NA,"2SLS (3)",10,1.41165859904375,0.386460596022063,"3.653",0.000261771651147977,0.00608619088919047,"6.09e-03",0.654195830840507,2.16912136724699," 1.41 ( 0.65,  2.17)"
"125",NA,NA,NA,NA,"2SRI (Binary)",7,0.064147616581552,0.0305400078294384,"2.100",0.0356896857057228,0.488074393123598,"4.88e-01",0.00428920123585274,0.124006031927251," 0.06 ( 0.00,  0.12)"
"126","roi345","R_s32","Right Area s32","DMN","MR",8,-1.0822693797296,0.30549687332483,"-3.543",0.00039934055895511,0.00716150735726164,"7.16e-03",-1.68104325144627,-0.483495508012933,"-1.08 (-1.68, -0.48)"
"127",NA,NA,NA,NA,"2SLS (1)",235,-0.240834768950654,0.12733680906913,"-1.891",0.0586268466841544,0.169576578043414,"1.70e-01",-0.490414914726149,0.00874537682484081,"-0.24 (-0.49,  0.01)"
"128",NA,NA,NA,NA,"2SLS (2)",8,-1.0514359941482,0.30040316590582,"-3.500",0.000468723377054416,0.00823466977516044,"8.23e-03",-1.64022619932361,-0.462645788972793,"-1.05 (-1.64, -0.46)"
"129",NA,NA,NA,NA,"2SLS (3)",71,-0.431116840192358,0.197469281986533,"-2.183",0.0290616195115038,0.115831312052994,"1.16e-01",-0.818156632885963,-0.0440770474987534,"-0.43 (-0.82, -0.04)"
"130",NA,NA,NA,NA,"2SRI (Binary)",8,-0.00965143056676342,0.0269971900453071,"-0.357",0.720719324826151,0.93290275354275,"9.33e-01",-0.0625659230555653,0.0432630619220385,"-0.01 (-0.06,  0.04)"
"131","roi133","L_TE1p","Left Area TE1 posterior","FPN","MR",42,0.986523366487346,0.280563915767901,"3.516",0.000441200973551293,0.00741769136783111,"7.42e-03",0.43661809158226,1.53642864139243," 0.99 ( 0.44,  1.54)"
"132",NA,NA,NA,NA,"2SLS (1)",20,1.33684247331022,0.308000697588108,"4.340",1.44431661499424e-05,0.00043169018825939,"4.32e-04",0.733161106037528,1.94052384058291," 1.34 ( 0.73,  1.94)"
